Threads,Runtime,Mean,StDev
100,native(glibc),0.0030431111653645834,0.006142436624078244
100,native(musl),0.0021054347356160483,0.00022430830023874684
100,wasmtime,0.007174380620320638,0.0006658238350391377
100,iwasm,0.12176212469736734,0.0019401684235793551
100,wasmer,0.48910107612609866,0.0658181173889471
1000,native(glibc),0.015172457695007325,0.0013610085935343696
1000,native(musl),0.018469802538553872,0.002494133806942064
1000,wasmtime,0.02994350592295329,0.0012031875284802187
1000,iwasm,0.13695308367411296,0.0025960309014917363
1000,wasmer,3.052280839284261,0.11140530509926039
10000,native(glibc),0.12373324235280354,0.00323554006821886
10000,native(musl),0.16745317776997884,0.0037094536315533857
10000,wasmtime,0.22585408687591552,0.005987067137052225
10000,iwasm,0.5452898899714153,0.022019536794260792
10000,wasmer,27.20250642299652,1.8190791933560189